time, nusers, response_time, n_servers, global_load_avg, global_mem_util, avg_num_apps_per_server 
    330.0, 66,    11.466, 2,    0.1847,    0.2537, 20 
    340.0, 68,    14.725, 2,    0.2020,    0.2674, 21 
    350.0, 70,    11.438, 2,    0.1966,    0.2691, 22 
    360.0, 72,    13.822, 2,    0.1966,    0.2811, 22 
    370.0, 74,    12.186, 2,    0.2014,    0.2902, 25 
    380.0, 76,    12.121, 2,    0.2040,    0.3047, 26 
    390.0, 78,    12.158, 2,    0.2111,    0.3112, 26 
    400.0, 80,    13.648, 2,    0.2244,    0.3156, 26 
    410.0, 82,    12.573, 2,    0.2300,    0.3225, 26 
    420.0, 84,    12.314, 2,    0.2300,    0.3285, 25 
    430.0, 86,    13.164, 2,    0.2881,    0.3225, 22 
    440.0, 88,    12.919, 2,    0.2823,    0.3317, 23 
    450.0, 90,    11.579, 2,    0.2759,    0.3408, 24 
    460.0, 92,    11.789, 2,    0.2712,    0.3409, 24 
    470.0, 94,    13.409, 2,    0.2822,    0.3590, 25 
    480.0, 96,    12.605, 2,    0.2822,    0.3661, 25 
    490.0, 98,    14.375, 2,    0.3592,    0.3712, 29 
    500.0, 100,    12.303, 2,    0.3258,    0.3831, 28 
    510.0, 102,    13.750, 2,    0.3229,    0.3909, 29 
    520.0, 104,    13.466, 2,    0.3317,    0.3963, 29 
    530.0, 106,    13.164, 2,    0.3314,    0.4050, 30 
    540.0, 108,    13.616, 2,    0.3314,    0.4123, 32 
    550.0, 110,    12.634, 2,    0.3081,    0.4264, 32 
    560.0, 112,    14.923, 2,    0.3379,    0.4324, 34 
    570.0, 114,    14.800, 2,    0.3619,    0.4409, 34 
    580.0, 116,    14.113, 2,    0.3809,    0.4420, 34 
    590.0, 118,    14.102, 2,    0.3845,    0.4536, 35 
    600.0, 120,    13.574, 2,    0.3845,    0.4669, 35 
    610.0, 122,    13.695, 2,    0.3678,    0.4661, 33 
    620.0, 124,    15.233, 2,    0.4100,    0.4710, 34 
    630.0, 126,    15.720, 2,    0.4466,    0.4781, 33 
    640.0, 128,    13.947, 2,    0.4407,    0.4809, 33 
    650.0, 130,    15.005, 2,    0.4472,    0.4857, 33 
    660.0, 132,    13.887, 2,    0.4472,    0.4968, 33 
    670.0, 134,    15.781, 2,    0.5090,    0.4987, 31 
    680.0, 136,    16.201, 2,    0.5314,    0.5094, 34 
    690.0, 138,    15.023, 2,    0.5326,    0.5197, 36 
    700.0, 140,    15.575, 2,    0.5441,    0.5240, 36 
    710.0, 142,    13.977, 2,    0.5305,    0.5325, 35 
    720.0, 144,    17.578, 2,    0.5305,    0.5351, 36 
    730.0, 146,    15.944, 2,    0.5807,    0.5418, 36 
    740.0, 148,    15.764, 2,    0.5739,    0.5549, 37 
    750.0, 150,    14.834, 2,    0.5683,    0.5608, 37 
    760.0, 152,    14.717, 2,    0.5634,    0.5639, 37 
    770.0, 154,    15.529, 2,    0.5689,    0.5682, 37 
    780.0, 156,    14.476, 2,    0.5666,    0.5740, 37 
    790.0, 158,    18.816, 3,    0.3930,    0.4199, 36 
    800.0, 160,    14.783, 3,    0.3970,    0.4268, 35 
    810.0, 162,    14.803, 3,    0.3961,    0.4304, 36 
    820.0, 164,    14.290, 3,    0.3977,    0.4339, 36 
    830.0, 166,    13.649, 3,    0.3956,    0.4399, 35 
    840.0, 168,    15.625, 3,    0.3956,    0.4431, 35 
    850.0, 170,    17.410, 3,    0.4869,    0.4444, 35 
    860.0, 172,    14.154, 3,    0.4400,    0.4442, 33 
    870.0, 174,    15.565, 3,    0.4389,    0.4446, 32 
    880.0, 176,    14.922, 3,    0.4308,    0.4480, 32 
    890.0, 178,    14.511, 3,    0.4250,    0.4492, 32 
    900.0, 180,    15.356, 3,    0.4250,    0.4579, 32 
    910.0, 182,    17.323, 3,    0.4907,    0.4487, 29 
    920.0, 184,    15.854, 3,    0.5009,    0.4496, 29 
    930.0, 186,    14.717, 3,    0.4811,    0.4591, 29 
    940.0, 188,    14.861, 3,    0.4740,    0.4599, 29 
    950.0, 190,    13.236, 3,    0.4598,    0.4634, 29 
    960.0, 192,    15.183, 3,    0.4598,    0.4702, 30 
    970.0, 194,    14.036, 3,    0.4355,    0.4752, 29 
    980.0, 196,    16.357, 3,    0.4707,    0.4747, 29 
    990.0, 198,    15.254, 3,    0.4804,    0.4820, 29 
   1000.0, 200,    15.163, 3,    0.4847,    0.4859, 29 
   1010.0, 202,    14.279, 3,    0.4828,    0.4928, 30 
   1020.0, 204,    15.545, 3,    0.4828,    0.4969, 30 
   1030.0, 206,    15.491, 3,    0.5219,    0.5047, 28 
   1040.0, 208,    13.734, 3,    0.4869,    0.4995, 29 
   1050.0, 210,    14.986, 3,    0.4844,    0.5065, 32 
   1060.0, 212,    16.334, 3,    0.5064,    0.5156, 32 
   1070.0, 214,    17.935, 3,    0.5303,    0.5249, 33 
   1080.0, 216,    15.581, 3,    0.5303,    0.5295, 33 
   1090.0, 218,    14.551, 3,    0.5314,    0.5273, 32 
   1100.0, 220,    14.276, 3,    0.5307,    0.5341, 32 
   1110.0, 222,    15.284, 3,    0.5367,    0.5429, 32 
   1120.0, 224,    17.014, 3,    0.5662,    0.5438, 32 
   1130.0, 226,    15.539, 3,    0.5721,    0.5574, 37 
   1140.0, 228,    16.205, 3,    0.5721,    0.5711, 38 
   1150.0, 230,    15.717, 3,    0.6147,    0.5688, 38 
   1160.0, 232,    17.495, 3,    0.6435,    0.5796, 40 
   1170.0, 234,    15.939, 3,    0.6320,    0.5822, 37 
   1180.0, 236,    17.195, 3,    0.6325,    0.5862, 39 
   1190.0, 238,    16.486, 3,    0.6362,    0.5942, 40 
   1200.0, 240,    16.092, 3,    0.6362,    0.5977, 40 
   1210.0, 242,    17.042, 3,    0.6788,    0.6011, 40 
   1220.0, 244,    16.397, 3,    0.6689,    0.6092, 40 
   1230.0, 246,    17.113, 3,    0.6749,    0.6100, 40 
   1240.0, 248,    16.392, 3,    0.6730,    0.6130, 40 
   1250.0, 250,    17.594, 3,    0.6842,    0.6149, 40 
   1260.0, 252,    16.612, 3,    0.6842,    0.6231, 40 
   1270.0, 254,    14.848, 3,    0.6182,    0.6199, 38 
   1280.0, 256,    18.088, 3,    0.6934,    0.6208, 37 
   1290.0, 258,    18.373, 3,    0.7176,    0.6291, 38 
   1300.0, 260,    17.239, 3,    0.7200,    0.6343, 38 
   1310.0, 262,    16.738, 3,    0.7226,    0.6350, 38 
   1320.0, 264,    16.714, 3,    0.7226,    0.6409, 38 
   1330.0, 266,    17.180, 3,    0.7670,    0.6422, 38 
   1340.0, 268,    18.583, 3,    0.7748,    0.6535, 38 
   1350.0, 270,    18.947, 3,    0.7996,    0.6506, 38 
   1360.0, 272,    18.400, 3,    0.8135,    0.6566, 38 
   1370.0, 274,    17.623, 3,    0.8137,    0.6642, 38 
   1380.0, 276,    17.768, 3,    0.8069,    0.6663, 38 
   1390.0, 278,    17.170, 5,    0.4858,    0.4593, 41 
   1400.0, 280,    17.713, 5,    0.4913,    0.4584, 41 
   1410.0, 282,    17.634, 5,    0.4918,    0.4612, 41 
   1420.0, 284,    16.967, 5,    0.4897,    0.4652, 41 
   1430.0, 286,    18.134, 5,    0.4929,    0.4640, 41 
   1440.0, 288,    16.091, 5,    0.4929,    0.4702, 40 
   1450.0, 290,    15.550, 5,    0.4479,    0.4686, 39 
   1460.0, 292,    14.813, 5,    0.4242,    0.4688, 39 
   1470.0, 294,    15.495, 5,    0.4302,    0.4705, 39 
   1480.0, 296,    16.117, 5,    0.4402,    0.4694, 38 
   1490.0, 298,    17.512, 5,    0.4574,    0.4698, 38 
   1500.0, 300,    15.389, 5,    0.4574,    0.4707, 38 
   1510.0, 302,    16.827, 5,    0.5138,    0.4570, 29 
   1520.0, 304,    15.933, 5,    0.4951,    0.4542, 30 
   1530.0, 306,    15.744, 5,    0.4852,    0.4665, 33 
   1540.0, 308,    15.434, 5,    0.4803,    0.4686, 34 
   1550.0, 310,    16.476, 5,    0.4861,    0.4729, 34 
   1560.0, 312,    17.690, 5,    0.4861,    0.4758, 34 
   1570.0, 314,    15.101, 5,    0.4661,    0.4771, 34 
   1580.0, 316,    15.628, 5,    0.4874,    0.4819, 34 
   1590.0, 318,    15.069, 5,    0.4822,    0.4862, 34 
   1600.0, 320,    15.479, 5,    0.4858,    0.4885, 34 
   1610.0, 322,    15.880, 5,    0.4887,    0.4863, 34 
   1620.0, 324,    16.917, 5,    0.4887,    0.4906, 34 
   1630.0, 326,    15.767, 5,    0.5206,    0.4898, 32 
   1640.0, 328,    15.271, 5,    0.5075,    0.4844, 32 
   1650.0, 330,    14.516, 5,    0.4950,    0.4820, 30 
   1660.0, 332,    15.737, 5,    0.5043,    0.4924, 32 
   1670.0, 334,    14.048, 5,    0.4954,    0.4978, 32 
   1680.0, 336,    15.622, 5,    0.4954,    0.4998, 32 
   1690.0, 338,    14.903, 5,    0.4889,    0.5007, 32 
   1700.0, 340,    14.720, 5,    0.4795,    0.5034, 31 
   1710.0, 342,    15.796, 5,    0.4946,    0.5028, 31 
   1720.0, 344,    14.280, 5,    0.4917,    0.5094, 31 
   1730.0, 346,    14.536, 5,    0.4912,    0.5103, 31 
   1740.0, 348,    16.039, 5,    0.4912,    0.5094, 31 
   1750.0, 350,    15.593, 5,    0.5088,    0.5110, 31 
   1760.0, 352,    15.513, 5,    0.5193,    0.5139, 31 
   1770.0, 354,    16.696, 5,    0.5448,    0.5163, 31 
   1780.0, 356,    15.267, 5,    0.5436,    0.5176, 32 
   1790.0, 358,    14.625, 5,    0.5357,    0.5239, 32 
   1800.0, 360,    15.189, 5,    0.5357,    0.5268, 32 
   1810.0, 362,    17.028, 5,    0.6197,    0.5218, 30 
   1820.0, 364,    15.620, 5,    0.5849,    0.5277, 30 
   1830.0, 366,    15.046, 5,    0.5658,    0.5276, 30 
   1840.0, 368,    16.122, 5,    0.5748,    0.5383, 32 
   1850.0, 370,    16.689, 5,    0.5786,    0.5438, 32 
   1860.0, 372,    15.988, 5,    0.5786,    0.5427, 32 
   1870.0, 374,    15.910, 5,    0.6006,    0.5478, 32 
   1880.0, 376,    17.174, 5,    0.6311,    0.5468, 32 
   1890.0, 378,    14.821, 5,    0.6020,    0.5488, 34 
   1900.0, 380,    16.819, 5,    0.6080,    0.5590, 33 
   1910.0, 382,    15.274, 5,    0.6033,    0.5592, 34 
   1920.0, 384,    16.268, 5,    0.6033,    0.5610, 34 
   1930.0, 386,    16.619, 5,    0.6209,    0.5637, 33 
   1940.0, 388,    16.084, 5,    0.6165,    0.5743, 36 
   1950.0, 390,    16.404, 5,    0.6147,    0.5749, 36 
   1960.0, 392,    15.354, 5,    0.6113,    0.5754, 35 
   1970.0, 394,    15.806, 5,    0.6067,    0.5905, 38 
   1980.0, 396,    15.924, 5,    0.6067,    0.5924, 38 
   1990.0, 398,    15.662, 5,    0.6026,    0.5916, 39 
   2000.0, 400,    16.222, 5,    0.6105,    0.5991, 40 
   2010.0, 402,    17.212, 5,    0.6334,    0.6037, 40 
   2020.0, 404,    17.440, 5,    0.6542,    0.6029, 40 
   2030.0, 406,    16.510, 5,    0.6570,    0.6054, 40 
   2040.0, 408,    18.977, 5,    0.6570,    0.6087, 40 
   2050.0, 410,    15.932, 5,    0.6481,    0.6123, 40 
   2060.0, 412,    16.748, 5,    0.6619,    0.6104, 40 
   2070.0, 414,    17.244, 5,    0.6785,    0.6124, 40 
   2080.0, 416,    18.613, 5,    0.7041,    0.6193, 39 
   2090.0, 418,    16.585, 5,    0.6965,    0.6161, 38 
   2100.0, 420,    18.285, 5,    0.6965,    0.6194, 38 
   2110.0, 422,    17.761, 5,    0.7497,    0.6167, 36 
   2120.0, 424,    17.382, 5,    0.7390,    0.6181, 36 
   2130.0, 426,    18.224, 5,    0.7505,    0.6195, 35 
   2140.0, 428,    17.142, 5,    0.7436,    0.6187, 35 
   2150.0, 430,    15.601, 5,    0.7265,    0.6179, 35 
   2160.0, 432,    16.450, 5,    0.7265,    0.6160, 35 
   2170.0, 434,    18.672, 5,    0.7927,    0.6238, 34 
   2180.0, 436,    18.320, 5,    0.7845,    0.6308, 37 
   2190.0, 438,    17.976, 5,    0.7863,    0.6380, 38 
   2200.0, 440,    16.419, 5,    0.7778,    0.6411, 38 
   2210.0, 442,    17.460, 5,    0.7755,    0.6438, 38 
   2220.0, 444,    18.844, 5,    0.7755,    0.6482, 38 
   2230.0, 446,    17.907, 5,    0.7409,    0.6498, 38 
   2240.0, 448,    17.997, 5,    0.7680,    0.6523, 38 
   2250.0, 450,    17.929, 5,    0.7786,    0.6549, 38 
   2260.0, 452,    16.680, 5,    0.7749,    0.6579, 38 
   2270.0, 454,    16.978, 5,    0.7677,    0.6606, 38 
   2280.0, 456,    18.386, 5,    0.7677,    0.6587, 38 
   2290.0, 458,    17.891, 5,    0.7986,    0.6598, 38 
   2300.0, 460,    17.295, 5,    0.7929,    0.6652, 38 
   2310.0, 462,    16.755, 5,    0.7658,    0.6704, 39 
   2320.0, 464,    19.072, 5,    0.7902,    0.6714, 38 
   2330.0, 466,    18.011, 5,    0.8007,    0.6809, 41 
   2340.0, 468,    19.381, 5,    0.8007,    0.6890, 43 
   2350.0, 470,    19.695, 5,    0.9040,    0.6944, 43 
   2360.0, 472,    18.082, 5,    0.8470,    0.6931, 43 
   2370.0, 474,    18.017, 5,    0.8428,    0.6957, 43 
   2380.0, 476,    16.878, 5,    0.8277,    0.7018, 43 
   2390.0, 478,    19.553, 5,    0.8444,    0.6983, 43 
   2400.0, 480,    17.837, 5,    0.8416,    0.7080, 43 
   2410.0, 482,    18.689, 9,    0.4719,    0.4366, 43 
   2420.0, 484,    20.312, 9,    0.4861,    0.4536, 43 
   2430.0, 486,    18.956, 9,    0.4890,    0.4549, 43 
   2440.0, 488,    18.941, 9,    0.4912,    0.4555, 43 
   2450.0, 490,    17.571, 9,    0.4901,    0.4584, 43 
   2460.0, 492,    18.144, 9,    0.4901,    0.4583, 43 
   2470.0, 494,    17.671, 9,    0.4688,    0.4582, 43 
   2480.0, 496,    18.326, 9,    0.4852,    0.4567, 42 
   2490.0, 498,    16.677, 9,    0.4731,    0.4584, 41 
   2500.0, 500,    16.905, 9,    0.4701,    0.4552, 41 
   2510.0, 502,    16.575, 9,    0.4675,    0.4540, 40 
   2520.0, 504,    17.502, 9,    0.4675,    0.4554, 39 
   2530.0, 506,    17.044, 9,    0.4683,    0.4357, 27 
   2540.0, 508,    15.583, 9,    0.4465,    0.4286, 30 
   2550.0, 510,    15.753, 9,    0.4437,    0.4321, 33 
   2560.0, 512,    17.096, 9,    0.4509,    0.4390, 33 
   2570.0, 514,    16.051, 9,    0.4505,    0.4436, 33 
   2580.0, 516,    16.512, 9,    0.4505,    0.4420, 33 
   2590.0, 518,    15.459, 9,    0.4370,    0.4448, 32 
   2600.0, 520,    15.972, 9,    0.4499,    0.4518, 36 
   2610.0, 522,    15.554, 9,    0.4459,    0.4568, 36 
   2620.0, 524,    16.142, 9,    0.4489,    0.4606, 36 
   2630.0, 526,    15.002, 9,    0.4465,    0.4609, 37 
   2640.0, 528,    16.156, 9,    0.4465,    0.4627, 37 
   2650.0, 530,    13.538, 9,    0.3838,    0.4609, 34 
   2660.0, 532,    15.544, 9,    0.4167,    0.4546, 33 
   2670.0, 534,    15.110, 9,    0.4246,    0.4530, 33 
   2680.0, 536,    14.597, 9,    0.4246,    0.4619, 35 
   2690.0, 538,    15.570, 9,    0.4306,    0.4625, 34 
   2700.0, 540,    15.492, 9,    0.4306,    0.4658, 35 
   2710.0, 542,    14.440, 9,    0.4114,    0.4634, 34 
   2720.0, 544,    14.829, 9,    0.4277,    0.4618, 31 
   2730.0, 546,    16.129, 9,    0.4464,    0.4614, 33 
   2740.0, 548,    14.953, 9,    0.4435,    0.4647, 32 
   2750.0, 550,    14.501, 9,    0.4406,    0.4653, 32 
   2760.0, 552,    14.658, 9,    0.4406,    0.4629, 32 
   2770.0, 554,    14.574, 9,    0.4497,    0.4633, 32 
   2780.0, 556,    14.327, 9,    0.4486,    0.4655, 32 
   2790.0, 558,    15.328, 9,    0.4592,    0.4682, 31 
   2800.0, 560,    14.553, 9,    0.4554,    0.4664, 31 
   2810.0, 562,    15.435, 9,    0.4609,    0.4688, 32 
   2820.0, 564,    14.458, 9,    0.4609,    0.4739, 33 
   2830.0, 566,    14.196, 9,    0.4333,    0.4751, 32 
   2840.0, 568,    14.135, 9,    0.4337,    0.4760, 33 
   2850.0, 570,    14.576, 9,    0.4365,    0.4782, 32 
   2860.0, 572,    14.419, 9,    0.4425,    0.4769, 32 
   2870.0, 574,    15.559, 9,    0.4550,    0.4768, 32 
   2880.0, 576,    14.102, 9,    0.4550,    0.4783, 31 
   2890.0, 578,    14.224, 9,    0.4517,    0.4744, 29 
   2900.0, 580,    14.892, 9,    0.4686,    0.4729, 29 
   2910.0, 582,    14.933, 9,    0.4685,    0.4746, 29 
   2920.0, 584,    14.616, 9,    0.4714,    0.4733, 29 
   2930.0, 586,    14.211, 9,    0.4686,    0.4759, 28 
   2940.0, 588,    14.803, 9,    0.4686,    0.4746, 27 
   2950.0, 590,    15.713, 9,    0.5160,    0.4738, 28 
   2960.0, 592,    14.021, 9,    0.4843,    0.4765, 27 
   2970.0, 594,    15.371, 9,    0.4919,    0.4823, 29 
   2980.0, 596,    14.771, 9,    0.4902,    0.4862, 29 
   2990.0, 598,    15.375, 9,    0.4920,    0.4827, 29 
   3000.0, 600,    16.491, 9,    0.4920,    0.4882, 31 
   3010.0, 602,    14.715, 9,    0.4884,    0.4981, 32 
   3020.0, 604,    14.253, 9,    0.4802,    0.4974, 32 
   3030.0, 606,    14.662, 9,    0.4817,    0.4994, 32 
   3040.0, 608,    15.432, 9,    0.4894,    0.5028, 32 
   3050.0, 610,    14.546, 9,    0.4902,    0.5061, 34 
   3060.0, 612,    14.887, 9,    0.4902,    0.5082, 34 
   3070.0, 614,    14.708, 9,    0.4972,    0.5145, 34 
   3080.0, 616,    14.490, 9,    0.4847,    0.5105, 34 
   3090.0, 618,    14.245, 9,    0.4775,    0.5142, 33 
   3100.0, 620,    14.940, 9,    0.4841,    0.5132, 33 
   3110.0, 622,    15.376, 9,    0.4937,    0.5117, 33 
   3120.0, 624,    14.599, 9,    0.4937,    0.5172, 33 
   3130.0, 626,    14.477, 9,    0.4900,    0.5129, 32 
   3140.0, 628,    15.892, 9,    0.5148,    0.5126, 32 
   3150.0, 630,    15.629, 9,    0.5250,    0.5159, 33 
   3160.0, 632,    16.230, 9,    0.5371,    0.5203, 33 
   3170.0, 634,    16.382, 9,    0.5459,    0.5216, 32 
   3180.0, 636,    16.159, 9,    0.5459,    0.5193, 32 
   3190.0, 638,    15.942, 9,    0.5438,    0.5143, 28 
   3200.0, 640,    16.128, 9,    0.5488,    0.5157, 30 
   3210.0, 642,    16.178, 9,    0.5566,    0.5191, 32 
   3220.0, 644,    15.335, 9,    0.5506,    0.5238, 31 
   3230.0, 646,    14.460, 9,    0.5416,    0.5259, 31 
   3240.0, 648,    16.018, 9,    0.5416,    0.5308, 35 
   3250.0, 650,    14.764, 9,    0.5123,    0.5388, 35 
   3260.0, 652,    15.360, 9,    0.5308,    0.5400, 38 
   3270.0, 654,    15.484, 9,    0.5368,    0.5469, 38 
   3280.0, 656,    15.225, 9,    0.5354,    0.5509, 38 
   3290.0, 658,    14.396, 9,    0.5294,    0.5525, 38 
   3300.0, 660,    14.630, 9,    0.5294,    0.5527, 38 
   3310.0, 662,    15.752, 9,    0.5810,    0.5540, 37 
   3320.0, 664,    16.351, 9,    0.5818,    0.5536, 37 
   3330.0, 666,    15.412, 9,    0.5776,    0.5529, 35 
   3340.0, 668,    16.376, 9,    0.5832,    0.5540, 38 
   3350.0, 670,    16.101, 9,    0.5844,    0.5623, 40 
   3360.0, 672,    15.578, 9,    0.5844,    0.5646, 37 
   3370.0, 674,    15.877, 9,    0.5734,    0.5615, 37 
   3380.0, 676,    15.265, 9,    0.5644,    0.5594, 35 
   3390.0, 678,    15.758, 9,    0.5753,    0.5615, 37 
   3400.0, 680,    16.280, 9,    0.5846,    0.5603, 37 
   3410.0, 682,    15.606, 9,    0.5857,    0.5657, 37 
   3420.0, 684,    15.624, 9,    0.5857,    0.5658, 37 
   3430.0, 686,    15.695, 9,    0.6068,    0.5652, 36 
   3440.0, 688,    17.539, 9,    0.6335,    0.5669, 36 
   3450.0, 690,    15.931, 9,    0.6237,    0.5732, 38 
   3460.0, 692,    16.183, 9,    0.6214,    0.5726, 36 
   3470.0, 694,    15.524, 9,    0.6149,    0.5687, 35 
   3480.0, 696,    17.494, 9,    0.6149,    0.5733, 37 
   3490.0, 698,    16.045, 9,    0.6149,    0.5751, 37 
   3500.0, 700,    16.340, 9,    0.6205,    0.5796, 37 
   3510.0, 702,    16.776, 9,    0.6272,    0.5818, 37 
   3520.0, 704,    15.451, 9,    0.6160,    0.5812, 37 
   3530.0, 706,    16.282, 9,    0.6185,    0.5814, 37 
   3540.0, 708,    17.144, 9,    0.6185,    0.5898, 39 
   3550.0, 710,    16.410, 9,    0.6480,    0.5894, 38 
   3560.0, 712,    17.423, 9,    0.6646,    0.5906, 37 
   3570.0, 714,    17.336, 9,    0.6692,    0.5841, 36 
   3580.0, 716,    15.858, 9,    0.6596,    0.5923, 39 
   3590.0, 718,    16.419, 9,    0.6566,    0.5957, 40 
   3600.0, 720,    16.621, 9,    0.6566,    0.5980, 39 
   3610.0, 722,    16.547, 9,    0.6549,    0.5949, 38 
   3620.0, 724,    15.974, 9,    0.6448,    0.6003, 41 
   3630.0, 726,    16.754, 9,    0.6538,    0.6052, 40 
   3640.0, 728,    16.633, 9,    0.6601,    0.6049, 40 
   3650.0, 730,    15.924, 9,    0.6538,    0.6053, 41 
   3660.0, 732,    17.631, 9,    0.6538,    0.6090, 39 
   3670.0, 734,    16.300, 9,    0.6547,    0.6050, 42 
   3680.0, 736,    16.375, 9,    0.6594,    0.6184, 42 
   3690.0, 738,    16.914, 9,    0.6642,    0.6208, 42 
   3700.0, 740,    16.444, 9,    0.6681,    0.6176, 41 
   3710.0, 742,    16.146, 9,    0.6658,    0.6206, 41 
   3720.0, 744,    16.347, 9,    0.6658,    0.6168, 41 
   3730.0, 746,    17.443, 9,    0.7261,    0.6200, 40 
   3740.0, 748,    16.844, 9,    0.7093,    0.6135, 37 
   3750.0, 750,    16.294, 9,    0.6965,    0.6132, 39 
   3760.0, 752,    17.155, 9,    0.6970,    0.6201, 40 
   3770.0, 754,    15.856, 9,    0.6873,    0.6262, 40 
   3780.0, 756,    15.695, 9,    0.6873,    0.6260, 40 
   3790.0, 758,    16.600, 9,    0.6677,    0.6246, 39 
   3800.0, 760,    16.286, 9,    0.6635,    0.6232, 40 
   3810.0, 762,    16.769, 9,    0.6741,    0.6314, 40 
   3820.0, 764,    17.683, 9,    0.6879,    0.6309, 40 
   3830.0, 766,    16.345, 9,    0.6902,    0.6309, 39 
   3840.0, 768,    17.194, 9,    0.6902,    0.6288, 39 
   3850.0, 770,    17.225, 9,    0.7441,    0.6257, 36 
   3860.0, 772,    16.762, 9,    0.7251,    0.6226, 36 
   3870.0, 774,    17.933, 9,    0.7458,    0.6235, 36 
   3880.0, 776,    16.917, 9,    0.7370,    0.6255, 36 
   3890.0, 778,    17.309, 9,    0.7379,    0.6281, 36 
   3900.0, 780,    17.806, 9,    0.7379,    0.6285, 38 
   3910.0, 782,    16.543, 9,    0.7049,    0.6315, 37 
   3920.0, 784,    17.438, 9,    0.7274,    0.6309, 35 
   3930.0, 786,    16.485, 9,    0.7133,    0.6318, 36 
   3940.0, 788,    16.584, 9,    0.7121,    0.6315, 36 
   3950.0, 790,    17.252, 9,    0.7189,    0.6317, 36 
   3960.0, 792,    17.022, 9,    0.7189,    0.6382, 38 
   3970.0, 794,    16.437, 9,    0.6903,    0.6423, 38 
   3980.0, 796,    17.202, 9,    0.7109,    0.6461, 38 
   3990.0, 798,    16.865, 9,    0.7141,    0.6470, 38 
   4000.0, 800,    16.274, 9,    0.7109,    0.6531, 40 
   4010.0, 802,    18.384, 9,    0.7289,    0.6550, 40 
   4020.0, 804,    18.056, 9,    0.7289,    0.6583, 39 
   4030.0, 806,    16.151, 9,    0.6948,    0.6500, 38 
   4040.0, 808,    18.589, 9,    0.7630,    0.6522, 38 
   4050.0, 810,    17.811, 9,    0.7699,    0.6525, 37 
   4060.0, 812,    17.889, 9,    0.7684,    0.6534, 37 
   4070.0, 814,    19.042, 9,    0.7883,    0.6596, 39 
   4080.0, 816,    18.209, 9,    0.7883,    0.6560, 39 
   4090.0, 818,    18.099, 9,    0.8163,    0.6592, 38 
   4100.0, 820,    17.815, 9,    0.8015,    0.6650, 40 
   4110.0, 822,    17.402, 9,    0.7949,    0.6691, 42 
   4120.0, 824,    17.828, 9,    0.7968,    0.6717, 40 
   4130.0, 826,    19.007, 9,    0.8060,    0.6701, 40 
   4140.0, 828,    18.208, 9,    0.8060,    0.6734, 42 
   4150.0, 830,    17.370, 9,    0.7760,    0.6764, 41 
   4160.0, 832,    18.606, 9,    0.8092,    0.6774, 40 
   4170.0, 834,    18.399, 9,    0.8155,    0.6778, 40 
   4180.0, 836,    17.617, 9,    0.8108,    0.6775, 40 
   4190.0, 838,    18.468, 9,    0.8147,    0.6780, 40 
   4200.0, 840,    17.354, 9,    0.8147,    0.6783, 39 
   4210.0, 842,    19.212, 9,    0.8989,    0.6776, 39 
   4220.0, 844,    17.173, 9,    0.8426,    0.6813, 40 
   4230.0, 846,    18.269, 9,    0.8444,    0.6815, 40 
   4240.0, 848,    18.842, 9,    0.8579,    0.6831, 40 
