time, nusers, response_time, n_servers, global_load_avg, global_mem_util, avg_num_apps_per_server, weighted_avg_CPU, weighted_avg_MEM, cramp_w_CPU, cramp_w_MEM, avg_CPU_prediction_error, avg_MEM_prediction_error 
    330.0, 66,    14.300, 2,    0.1641,    0.2601, 22,    0.1801,    0.2974,    0.0293,    0.0355,    0.0293,    0.0355 
    340.0, 68,    11.106, 2,    0.1608,    0.2627, 21,    0.1935,    0.3002,    0.0259,    0.0292,    0.0259,    0.0292 
    350.0, 70,    12.313, 2,    0.1651,    0.2765, 22,    0.1961,    0.3034,    0.0241,    0.0232,    0.0241,    0.0232 
    360.0, 72,    11.125, 2,    0.1651,    0.2788, 21,    0.1910,    0.3116,    0.0211,    0.0238,    0.0211,    0.0238 
    370.0, 74,    10.615, 2,    0.1625,    0.2816, 20,    0.1869,    0.3194,    0.0237,    0.0295,    0.0237,    0.0295 
    380.0, 76,    11.239, 2,    0.1722,    0.2863, 20,    0.1868,    0.3204,    0.0228,    0.0299,    0.0228,    0.0299 
    390.0, 78,    11.162, 2,    0.1752,    0.2948, 20,    0.1876,    0.3249,    0.0225,    0.0296,    0.0225,    0.0296 
    400.0, 80,    11.914, 2,    0.1781,    0.2999, 20,    0.1903,    0.3278,    0.0164,    0.0311,    0.0164,    0.0311 
    410.0, 82,    11.789, 2,    0.1827,    0.3071, 21,    0.1940,    0.3344,    0.0159,    0.0349,    0.0159,    0.0349 
    420.0, 84,    12.177, 2,    0.1827,    0.3086, 21,    0.1998,    0.3408,    0.0232,    0.0324,    0.0232,    0.0324 
    430.0, 86,    13.248, 2,    0.2004,    0.3083, 19,    0.2146,    0.3447,    0.0416,    0.0258,    0.0416,    0.0258 
    440.0, 88,    13.235, 2,    0.2129,    0.3233, 20,    0.2315,    0.3457,    0.0430,    0.0254,    0.0430,    0.0254 
    450.0, 90,    10.760, 2,    0.2072,    0.3293, 20,    0.2498,    0.3549,    0.0415,    0.0315,    0.0415,    0.0315 
    460.0, 92,    12.767, 2,    0.2110,    0.3353, 22,    0.2527,    0.3642,    0.0243,    0.0373,    0.0243,    0.0373 
    470.0, 94,    12.919, 2,    0.2159,    0.3424, 22,    0.2496,    0.3740,    0.0221,    0.0406,    0.0221,    0.0406 
    480.0, 96,    14.372, 2,    0.2159,    0.3540, 22,    0.2439,    0.3898,    0.0207,    0.0450,    0.0207,    0.0450 
    490.0, 98,    13.279, 2,    0.2385,    0.3620, 24,    0.2553,    0.4046,    0.0303,    0.0435,    0.0303,    0.0435 
    500.0, 100,    13.385, 2,    0.2457,    0.3703, 25,    0.2732,    0.4144,    0.0407,    0.0368,    0.0407,    0.0368 
    510.0, 102,    13.975, 2,    0.2570,    0.3768, 26,    0.2969,    0.4239,    0.0489,    0.0324,    0.0489,    0.0324 
    520.0, 104,    14.958, 2,    0.2597,    0.3874, 26,    0.3045,    0.4260,    0.0464,    0.0346,    0.0464,    0.0346 
    530.0, 106,    13.622, 2,    0.2593,    0.3950, 27,    0.2985,    0.4210,    0.0362,    0.0448,    0.0362,    0.0448 
    540.0, 108,    13.948, 2,    0.2593,    0.4045, 28,    0.2841,    0.4231,    0.0229,    0.0503,    0.0229,    0.0503 
    550.0, 110,    14.470, 2,    0.2675,    0.4108, 28,    0.2752,    0.4260,    0.0223,    0.0523,    0.0223,    0.0523 
    560.0, 112,    13.571, 2,    0.2680,    0.4201, 29,    0.2709,    0.4268,    0.0258,    0.0491,    0.0258,    0.0491 
    570.0, 114,    13.408, 2,    0.2744,    0.4272, 29,    0.2702,    0.4267,    0.0379,    0.0415,    0.0379,    0.0415 
    580.0, 116,    12.402, 2,    0.2719,    0.4350, 28,    0.2923,    0.4840,    0.0497,    0.0311,    0.0497,    0.0311 
    590.0, 118,    14.195, 2,    0.2730,    0.4348, 28,    0.2925,    0.4851,    0.0562,    0.0194,    0.0562,    0.0194 
    600.0, 120,    14.269, 2,    0.2730,    0.4480, 30,    0.2915,    0.4859,    0.0534,    0.0206,    0.0534,    0.0206 
    610.0, 122,    12.422, 2,    0.2817,    0.4504, 27,    0.2935,    0.4890,    0.0420,    0.0245,    0.0420,    0.0245 
    620.0, 124,    14.781, 2,    0.2957,    0.4507, 26,    0.3027,    0.4860,    0.0306,    0.0258,    0.0306,    0.0258 
    630.0, 126,    14.644, 2,    0.3043,    0.4560, 27,    0.3183,    0.4824,    0.0248,    0.0259,    0.0248,    0.0259 
    640.0, 128,    14.744, 2,    0.3020,    0.4652, 29,    0.3371,    0.4829,    0.0298,    0.0346,    0.0298,    0.0346 
    650.0, 130,    16.138, 2,    0.3069,    0.4715, 29,    0.3444,    0.4899,    0.0352,    0.0358,    0.0352,    0.0358 
    660.0, 132,    13.895, 2,    0.3069,    0.4805, 29,    0.3437,    0.5040,    0.0409,    0.0281,    0.0409,    0.0281 
    670.0, 134,    16.269, 2,    0.3525,    0.4860, 28,    0.3681,    0.5221,    0.0569,    0.0226,    0.0569,    0.0226 
    680.0, 136,    14.025, 2,    0.3453,    0.4911, 29,    0.3949,    0.5337,    0.0591,    0.0287,    0.0591,    0.0287 
    690.0, 138,    16.719, 2,    0.3483,    0.5033, 29,    0.4083,    0.5472,    0.0574,    0.0432,    0.0574,    0.0432 
    700.0, 140,    15.334, 2,    0.3482,    0.5061, 30,    0.4124,    0.5485,    0.0389,    0.0496,    0.0389,    0.0496 
    710.0, 142,    15.268, 2,    0.3466,    0.5169, 31,    0.3986,    0.5488,    0.0280,    0.0448,    0.0280,    0.0448 
    720.0, 144,    14.778, 2,    0.3466,    0.5178, 31,    0.3673,    0.5511,    0.0232,    0.0368,    0.0232,    0.0368 
    730.0, 146,    14.727, 2,    0.3434,    0.5270, 32,    0.3340,    0.5574,    0.0302,    0.0363,    0.0302,    0.0363 
    740.0, 148,    16.243, 2,    0.3605,    0.5317, 32,    0.3297,    0.5599,    0.0364,    0.0431,    0.0364,    0.0431 
    750.0, 150,    17.574, 2,    0.3788,    0.5435, 31,    0.3550,    0.5691,    0.0388,    0.0490,    0.0388,    0.0490 
    760.0, 152,    14.922, 2,    0.3733,    0.5476, 30,    0.3934,    0.5791,    0.0408,    0.0460,    0.0408,    0.0460 
    770.0, 154,    14.580, 2,    0.3705,    0.5481, 30,    0.4186,    0.5867,    0.0413,    0.0385,    0.0413,    0.0385 
    780.0, 156,    14.521, 2,    0.3705,    0.5597, 31,    0.4230,    0.5877,    0.0431,    0.0304,    0.0431,    0.0304 
    790.0, 158,    17.082, 2,    0.4057,    0.5652, 29,    0.4253,    0.5909,    0.0635,    0.0278,    0.0635,    0.0278 
    800.0, 160,    17.385, 2,    0.4020,    0.5685, 30,    0.4224,    0.5864,    0.0712,    0.0307,    0.0712,    0.0307 
    810.0, 162,    14.825, 2,    0.3959,    0.5795, 30,    0.4183,    0.5845,    0.0733,    0.0304,    0.0733,    0.0304 
    820.0, 164,    16.204, 2,    0.4026,    0.5792, 30,    0.4135,    0.5841,    0.0587,    0.0264,    0.0587,    0.0264 
    830.0, 166,    15.556, 2,    0.3996,    0.5867, 30,    0.4324,    0.6198,    0.0394,    0.0242,    0.0394,    0.0242 
    840.0, 168,    15.283, 2,    0.3996,    0.5862, 29,    0.4047,    0.6192,    0.0220,    0.0243,    0.0220,    0.0243 
    850.0, 170,    18.006, 2,    0.4304,    0.5911, 26,    0.4041,    0.6213,    0.0253,    0.0246,    0.0253,    0.0246 
    860.0, 172,    16.654, 2,    0.4344,    0.5846, 26,    0.4388,    0.6085,    0.0246,    0.0203,    0.0246,    0.0203 
    870.0, 174,    16.118, 2,    0.4213,    0.6006, 27,    0.4649,    0.6033,    0.0227,    0.0159,    0.0227,    0.0159 
    880.0, 176,    16.741, 2,    0.4215,    0.6045, 27,    0.4695,    0.6133,    0.0188,    0.0155,    0.0188,    0.0155 
    890.0, 178,    17.770, 2,    0.4227,    0.6122, 31,    0.4611,    0.6277,    0.0238,    0.0224,    0.0238,    0.0224 
    900.0, 180,    17.584, 2,    0.4227,    0.6315, 30,    0.4431,    0.6548,    0.0234,    0.0279,    0.0234,    0.0279 
    910.0, 182,    16.646, 2,    0.4448,    0.6382, 30,    0.4385,    0.6888,    0.0346,    0.0326,    0.0346,    0.0326 
    920.0, 184,    16.756, 2,    0.4473,    0.6394, 30,    0.4550,    0.7045,    0.0340,    0.0323,    0.0340,    0.0323 
    930.0, 186,    19.056, 2,    0.4563,    0.6468, 33,    0.4774,    0.7055,    0.0382,    0.0375,    0.0382,    0.0375 
    940.0, 188,    19.103, 2,    0.4592,    0.6624, 33,    0.4954,    0.7121,    0.0303,    0.0463,    0.0303,    0.0463 
    950.0, 190,    18.118, 2,    0.4589,    0.6618, 34,    0.5018,    0.7067,    0.0263,    0.0496,    0.0263,    0.0496 
    960.0, 192,    18.586, 2,    0.4589,    0.6758, 34,    0.4937,    0.7162,    0.0222,    0.0508,    0.0222,    0.0508 
    970.0, 194,    17.280, 2,    0.4643,    0.6823, 33,    0.5009,    0.7332,    0.0346,    0.0430,    0.0346,    0.0430 
    980.0, 196,    19.719, 2,    0.4756,    0.6794, 33,    0.4959,    0.7316,    0.0436,    0.0440,    0.0436,    0.0440 
    990.0, 198,    16.948, 2,    0.4666,    0.6902, 33,    0.4939,    0.7242,    0.0459,    0.0336,    0.0459,    0.0336 
   1000.0, 200,    16.465, 2,    0.4653,    0.7012, 33,    0.4885,    0.7263,    0.0357,    0.0222,    0.0357,    0.0222 
   1010.0, 202,    18.575, 2,    0.4670,    0.6996, 31,    0.4764,    0.7254,    0.0311,    0.0175,    0.0311,    0.0175 
   1020.0, 204,    17.656, 2,    0.4670,    0.6965, 30,    0.4612,    0.7249,    0.0321,    0.0157,    0.0321,    0.0157 
   1030.0, 206,    17.832, 2,    0.4684,    0.7063, 31,    0.4719,    0.7251,    0.0431,    0.0204,    0.0431,    0.0204 
   1040.0, 208,    19.136, 2,    0.4940,    0.7140, 31,    0.4802,    0.7234,    0.0388,    0.0242,    0.0388,    0.0242 
   1050.0, 210,    21.355, 2,    0.5121,    0.7225, 31,    0.5029,    0.7260,    0.0344,    0.0224,    0.0344,    0.0224 
   1060.0, 212,    20.340, 2,    0.5079,    0.7305, 33,    0.5217,    0.7332,    0.0178,    0.0185,    0.0178,    0.0185 
   1070.0, 214,    21.604, 2,    0.5143,    0.7333, 32,    0.5260,    0.7386,    0.0223,    0.0258,    0.0223,    0.0258 
   1080.0, 216,    19.676, 2,    0.5143,    0.7448, 32,    0.5220,    0.7419,    0.0332,    0.0460,    0.0332,    0.0460 
   1090.0, 218,    22.467, 2,    0.5674,    0.7505, 33,    0.5675,    0.7861,    0.0484,    0.0519,    0.0484,    0.0519 
   1100.0, 220,    23.143, 2,    0.5605,    0.7572, 34,    0.5675,    0.7861,    0.0484,    0.0519,    0.0484,    0.0519 
   1110.0, 222,    19.473, 2,    0.5382,    0.7618, 34,    0.5675,    0.7861,    0.0484,    0.0519,    0.0484,    0.0519 
   1120.0, 224,    27.429, 2,    0.5549,    0.7698, 34,    0.5675,    0.7861,    0.0484,    0.0519,    0.0484,    0.0519 
   1130.0, 226,    23.452, 2,    0.5616,    0.7774, 35,    0.5675,    0.7861,    0.0484,    0.0519,    0.0484,    0.0519 
   1140.0, 228,    26.180, 2,    0.5648,    0.7915, 35,    0.5675,    0.7861,    0.0484,    0.0519,    0.0484,    0.0519 
   1150.0, 230,    20.871, 3,    0.3784,    0.5567, 34,    0.3757,    0.5357,    0.0000,    0.0000,    0.0484,    0.0519 
   1160.0, 232,    23.900, 3,    0.3778,    0.5637, 35,    0.3828,    0.5555,    0.0000,    0.0000,    0.0484,    0.0519 
   1170.0, 234,    25.248, 3,    0.3838,    0.5716, 35,    0.3828,    0.5555,    0.0000,    0.0000,    0.0484,    0.0519 
   1180.0, 236,    18.032, 3,    0.3846,    0.5753, 35,    0.3828,    0.5555,    0.0000,    0.0000,    0.0484,    0.0519 
   1190.0, 238,    19.508, 3,    0.3882,    0.5866, 36,    0.3828,    0.5555,    0.0000,    0.0000,    0.0484,    0.0519 
   1200.0, 240,    20.903, 3,    0.3917,    0.5871, 36,    0.3828,    0.5555,    0.0000,    0.0000,    0.0484,    0.0519 
   1210.0, 242,    19.816, 3,    0.3965,    0.5918, 36,    0.3828,    0.5555,    0.0000,    0.0000,    0.0484,    0.0519 
   1220.0, 244,    20.835, 5,    0.2394,    0.3583, 29,    0.2374,    0.3430,    0.0000,    0.0000,    0.0484,    0.0519 
   1230.0, 246,    21.011, 5,    0.2433,    0.4038, 36,    0.2378,    0.3581,    0.0000,    0.0000,    0.0484,    0.0519 
   1240.0, 248,    19.795, 5,    0.2454,    0.4081, 36,    0.2410,    0.3702,    0.0000,    0.0000,    0.0484,    0.0519 
   1250.0, 250,    17.536, 5,    0.2470,    0.4068, 36,    0.2431,    0.3762,    0.0000,    0.0000,    0.0484,    0.0519 
   1260.0, 252,    19.614, 5,    0.2470,    0.4114, 36,    0.2421,    0.3734,    0.0000,    0.0000,    0.0484,    0.0519 
   1270.0, 254,    15.501, 5,    0.2239,    0.4109, 36,    0.2470,    0.4135,    0.0000,    0.0000,    0.0484,    0.0519 
   1280.0, 256,    18.895, 5,    0.2398,    0.4131, 36,    0.2300,    0.4672,    0.0650,    0.1396,    0.0650,    0.1396 
   1290.0, 258,    17.230, 5,    0.2438,    0.4167, 36,    0.2243,    0.4353,    0.0737,    0.1363,    0.0737,    0.1363 
   1300.0, 260,    18.449, 5,    0.2449,    0.4177, 35,    0.2325,    0.4268,    0.0776,    0.1292,    0.0776,    0.1292 
   1310.0, 262,    19.559, 5,    0.2487,    0.4213, 35,    0.2441,    0.4249,    0.0765,    0.1165,    0.0765,    0.1165 
   1320.0, 264,    17.879, 5,    0.2487,    0.4207, 35,    0.2559,    0.4237,    0.0720,    0.0961,    0.0720,    0.0961 
   1330.0, 266,    19.409, 5,    0.2835,    0.4135, 30,    0.2705,    0.4215,    0.0756,    0.0857,    0.0756,    0.0857 
   1340.0, 268,    17.114, 5,    0.2714,    0.4206, 26,    0.3162,    0.4258,    0.0735,    0.0910,    0.0735,    0.0910 
   1350.0, 270,    17.859, 5,    0.2704,    0.3880, 21,    0.3199,    0.4033,    0.0767,    0.0853,    0.0767,    0.0853 
   1360.0, 272,    16.761, 5,    0.2700,    0.3914, 23,    0.3131,    0.3754,    0.0655,    0.0753,    0.0655,    0.0753 
   1370.0, 274,    16.953, 5,    0.2698,    0.3993, 23,    0.2957,    0.3588,    0.0506,    0.0510,    0.0506,    0.0510 
   1380.0, 276,    17.873, 5,    0.2698,    0.4016, 23,    0.2707,    0.3621,    0.0424,    0.0352,    0.0424,    0.0352 
   1390.0, 278,    17.075, 5,    0.2732,    0.4023, 25,    0.2664,    0.3755,    0.0423,    0.0286,    0.0423,    0.0286 
   1400.0, 280,    18.437, 5,    0.2836,    0.4142, 26,    0.2768,    0.4057,    0.0383,    0.0299,    0.0383,    0.0299 
   1410.0, 282,    17.462, 5,    0.2846,    0.4177, 27,    0.2916,    0.4338,    0.0454,    0.0407,    0.0454,    0.0407 
   1420.0, 284,    15.827, 5,    0.2820,    0.4199, 27,    0.3021,    0.4423,    0.0470,    0.0444,    0.0470,    0.0444 
   1430.0, 286,    14.272, 5,    0.2800,    0.4205, 27,    0.3028,    0.4471,    0.0490,    0.0537,    0.0490,    0.0537 
   1440.0, 288,    16.237, 5,    0.2800,    0.4255, 27,    0.2961,    0.4502,    0.0460,    0.0632,    0.0460,    0.0632 
   1450.0, 290,    17.197, 5,    0.2940,    0.4281, 26,    0.2941,    0.4484,    0.0571,    0.0738,    0.0571,    0.0738 
   1460.0, 292,    15.865, 5,    0.2900,    0.4235, 25,    0.2971,    0.4429,    0.0564,    0.0736,    0.0564,    0.0736 
   1470.0, 294,    16.806, 5,    0.2938,    0.4275, 25,    0.3041,    0.4381,    0.0547,    0.0625,    0.0547,    0.0625 
   1480.0, 296,    15.194, 5,    0.2930,    0.4282, 24,    0.3123,    0.4337,    0.0313,    0.0412,    0.0313,    0.0412 
   1490.0, 298,    15.454, 5,    0.2923,    0.4328, 26,    0.3124,    0.4337,    0.0232,    0.0279,    0.0232,    0.0279 
   1500.0, 300,    15.746, 5,    0.2923,    0.4395, 26,    0.3039,    0.4413,    0.0238,    0.0268,    0.0238,    0.0268 
   1510.0, 302,    15.238, 5,    0.3034,    0.4410, 24,    0.3014,    0.4546,    0.0307,    0.0283,    0.0307,    0.0283 
   1520.0, 304,    15.456, 5,    0.3059,    0.4400, 24,    0.3113,    0.4632,    0.0294,    0.0227,    0.0294,    0.0227 
   1530.0, 306,    15.804, 5,    0.3053,    0.4399, 24,    0.3205,    0.4624,    0.0288,    0.0180,    0.0288,    0.0180 
   1540.0, 308,    15.344, 5,    0.3021,    0.4403, 24,    0.3234,    0.4554,    0.0255,    0.0156,    0.0255,    0.0156 
   1550.0, 310,    16.485, 5,    0.3062,    0.4473, 24,    0.3183,    0.4502,    0.0255,    0.0209,    0.0255,    0.0209 
   1560.0, 312,    16.852, 5,    0.3062,    0.4441, 24,    0.3120,    0.4489,    0.0261,    0.0210,    0.0261,    0.0210 
   1570.0, 314,    14.060, 5,    0.2825,    0.4485, 24,    0.3110,    0.4499,    0.0337,    0.0211,    0.0337,    0.0211 
   1580.0, 316,    15.285, 5,    0.2961,    0.4530, 25,    0.2997,    0.4535,    0.0361,    0.0157,    0.0361,    0.0157 
   1590.0, 318,    16.516, 5,    0.3077,    0.4567, 25,    0.2976,    0.4555,    0.0367,    0.0174,    0.0367,    0.0174 
   1600.0, 320,    14.772, 5,    0.3107,    0.4574, 25,    0.2945,    0.4698,    0.0377,    0.0204,    0.0377,    0.0204 
   1610.0, 322,    15.445, 5,    0.3111,    0.4604, 25,    0.3028,    0.4728,    0.0397,    0.0261,    0.0397,    0.0261 
   1620.0, 324,    15.798, 5,    0.3111,    0.4618, 25,    0.3160,    0.4771,    0.0360,    0.0313,    0.0360,    0.0313 
   1630.0, 326,    15.031, 5,    0.3318,    0.4626, 24,    0.3448,    0.4779,    0.0406,    0.0356,    0.0406,    0.0356 
   1640.0, 328,    16.678, 5,    0.3293,    0.4679, 26,    0.3564,    0.4778,    0.0447,    0.0400,    0.0447,    0.0400 
   1650.0, 330,    16.294, 5,    0.3357,    0.4695, 26,    0.3616,    0.4772,    0.0546,    0.0472,    0.0546,    0.0472 
   1660.0, 332,    14.314, 5,    0.3323,    0.4772, 26,    0.3671,    0.4812,    0.0594,    0.0496,    0.0594,    0.0496 
   1670.0, 334,    15.714, 5,    0.3326,    0.4771, 28,    0.3650,    0.4885,    0.0588,    0.0564,    0.0588,    0.0564 
   1680.0, 336,    14.628, 5,    0.3326,    0.4864, 27,    0.3545,    0.5011,    0.0502,    0.0568,    0.0502,    0.0568 
   1690.0, 338,    15.754, 5,    0.3327,    0.4866, 26,    0.3492,    0.5137,    0.0437,    0.0588,    0.0437,    0.0588 
   1700.0, 340,    15.501, 5,    0.3383,    0.4833, 26,    0.3507,    0.5148,    0.0413,    0.0562,    0.0413,    0.0562 
   1710.0, 342,    14.589, 5,    0.3420,    0.4914, 26,    0.3514,    0.5094,    0.0520,    0.0497,    0.0520,    0.0497 
   1720.0, 344,    16.391, 5,    0.3453,    0.4895, 26,    0.3566,    0.5048,    0.0565,    0.0404,    0.0565,    0.0404 
   1730.0, 346,    14.768, 5,    0.3452,    0.4932, 25,    0.3584,    0.5046,    0.0608,    0.0354,    0.0608,    0.0354 
   1740.0, 348,    15.495, 5,    0.3452,    0.4959, 27,    0.3540,    0.5050,    0.0555,    0.0383,    0.0555,    0.0383 
   1750.0, 350,    15.943, 5,    0.3724,    0.4973, 26,    0.3891,    0.5107,    0.0523,    0.0427,    0.0523,    0.0427 
   1760.0, 352,    14.497, 5,    0.3553,    0.4981, 25,    0.4041,    0.5126,    0.0444,    0.0460,    0.0444,    0.0460 
   1770.0, 354,    14.482, 5,    0.3523,    0.4991, 25,    0.3955,    0.5120,    0.0486,    0.0478,    0.0486,    0.0478 
   1780.0, 356,    14.041, 5,    0.3509,    0.5036, 25,    0.3784,    0.5117,    0.0509,    0.0466,    0.0509,    0.0466 
   1790.0, 358,    15.026, 5,    0.3521,    0.5051, 26,    0.3546,    0.5111,    0.0586,    0.0457,    0.0586,    0.0457 
   1800.0, 360,    15.079, 5,    0.3521,    0.5138, 29,    0.3300,    0.5120,    0.0593,    0.0416,    0.0593,    0.0416 
   1810.0, 362,    15.914, 5,    0.3839,    0.5182, 27,    0.3583,    0.5214,    0.0514,    0.0398,    0.0514,    0.0398 
   1820.0, 364,    15.841, 5,    0.3716,    0.5178, 27,    0.3838,    0.5284,    0.0426,    0.0370,    0.0426,    0.0370 
   1830.0, 366,    15.937, 5,    0.3749,    0.5184, 27,    0.3896,    0.5302,    0.0356,    0.0416,    0.0356,    0.0416 
   1840.0, 368,    15.047, 5,    0.3749,    0.5204, 27,    0.3877,    0.5276,    0.0321,    0.0449,    0.0321,    0.0449 
   1850.0, 370,    15.086, 5,    0.3737,    0.5241, 27,    0.3815,    0.5238,    0.0278,    0.0500,    0.0278,    0.0500 
   1860.0, 372,    15.711, 5,    0.3737,    0.5260, 26,    0.3784,    0.5339,    0.0277,    0.0533,    0.0277,    0.0533 
   1870.0, 374,    15.818, 5,    0.3872,    0.5231, 24,    0.3888,    0.5337,    0.0463,    0.0503,    0.0463,    0.0503 
   1880.0, 376,    15.061, 5,    0.3801,    0.5220, 26,    0.4026,    0.5310,    0.0463,    0.0457,    0.0463,    0.0457 
   1890.0, 378,    16.783, 5,    0.3881,    0.5312, 27,    0.4034,    0.5335,    0.0426,    0.0374,    0.0426,    0.0374 
   1900.0, 380,    15.582, 5,    0.3834,    0.5354, 27,    0.4019,    0.5407,    0.0190,    0.0335,    0.0190,    0.0335 
   1910.0, 382,    16.939, 5,    0.3825,    0.5363, 27,    0.3942,    0.5464,    0.0179,    0.0311,    0.0179,    0.0311 
   1920.0, 384,    16.303, 5,    0.3825,    0.5401, 25,    0.3797,    0.5563,    0.0238,    0.0365,    0.0238,    0.0365 
   1930.0, 386,    15.682, 5,    0.3927,    0.5379, 24,    0.3886,    0.5633,    0.0313,    0.0410,    0.0313,    0.0410 
   1940.0, 388,    16.460, 5,    0.3895,    0.5350, 24,    0.3991,    0.5561,    0.0353,    0.0463,    0.0353,    0.0463 
   1950.0, 390,    15.703, 5,    0.3835,    0.5455, 27,    0.3992,    0.5485,    0.0410,    0.0456,    0.0410,    0.0456 
   1960.0, 392,    16.098, 5,    0.3784,    0.5513, 27,    0.3916,    0.5534,    0.0500,    0.0449,    0.0500,    0.0449 
   1970.0, 394,    17.384, 5,    0.3835,    0.5539, 27,    0.3799,    0.5614,    0.0548,    0.0470,    0.0548,    0.0470 
   1980.0, 396,    15.052, 5,    0.3835,    0.5576, 27,    0.3686,    0.5723,    0.0499,    0.0568,    0.0499,    0.0568 
   1990.0, 398,    17.438, 5,    0.4080,    0.5584, 28,    0.3917,    0.5828,    0.0512,    0.0587,    0.0512,    0.0587 
   2000.0, 400,    17.243, 5,    0.4092,    0.5666, 30,    0.4255,    0.5897,    0.0470,    0.0607,    0.0470,    0.0607 
   2010.0, 402,    16.366, 5,    0.4123,    0.5723, 31,    0.4517,    0.5924,    0.0474,    0.0617,    0.0474,    0.0617 
